Source,Target,BLEU,"Data Size (parallel sentences, K)"
slv,fr-ca,6.4,
slv,glg,3.2,33
slv,heb,1.2,38
slv,hrv,11.2,53
slv,hun,3.9,55
slv,ind,6.5,46
slv,ita,7.8,81
slv,jpn,2.7,50
slv,kor,4.2,26
slv,mkd,6.3,39
slv,nob,4.3,
slv,nld,5.5,64
slv,pol,4.8,68
slv,pt-br,9.9,
slv,ron,4.8,49
slv,rus,5.9,78
slv,slk,3.6,36
slv,srp,1.9,47
slv,swe,4.1,50
slv,tur,2.2,39
slv,ukr,4.3,50
slv,vie,7.4,48
slv,cmn,3.8,42
slv,zh-tw,2.6,
srp,ara,1.8,49
srp,bul,7.6,65
srp,bos,33.2,130
srp,ces,5.1,63
srp,dan,3.7,43
srp,deu,3.8,81
srp,ell,5.8,52
srp,eng,22.8,395
srp,epo,3.2,36
srp,spa,11.9,107
srp,fra,9.1,92
srp,fr-ca,7.5,
srp,glg,3.5,39
srp,heb,1.1,45
srp,hrv,30.4,205
srp,hun,2.7,53
srp,ind,6.1,56
srp,ita,8.2,83
srp,jpn,1.2,51
srp,kor,2.9,29
srp,mkd,13.7,106
srp,nob,3.3,
srp,nld,3.3,61
srp,pol,3.9,69
srp,por,10.8,101
srp,pt-br,11.3,
srp,ron,5.6,58
srp,rus,7.2,114
srp,slk,2.8,34
srp,slv,9.5,47
srp,swe,3,51
srp,tur,1.1,43
srp,ukr,5.7,71
srp,vie,6.8,56
srp,cmn,4.3,45
srp,zh-tw,3.1,
swe,ara,2.2,58
swe,bul,7.4,63
swe,bos,4.8,38
swe,ces,5.9,97
swe,dan,26.5,168
swe,deu,12.6,216
swe,ell,8.1,62
swe,eng,31.8,546
swe,epo,11,53
swe,spa,16.9,181
swe,fra,15.7,186
swe,fr-ca,10.7,
swe,glg,7.1,54
swe,heb,3.3,67
swe,hrv,5.5,56
swe,hun,5.4,88
swe,ind,11.6,79
swe,ita,13.3,153
swe,jpn,4.8,96
swe,kor,6.2,51
swe,mkd,5.2,48
swe,nob,25.4,
swe,nld,11.5,151
swe,pol,5.8,121
swe,por,15,155
swe,pt-br,17.4,
swe,ron,7.9,75
swe,rus,8.1,140
swe,slk,3.8,51
